pH,OrganicCarbon,Nitrogen,Phosphorus,Potassium,Sand,Silt,Clay,SoilType
6.98,0.56,119.9,74.4,227.3,38.7,22.2,41.8,Red Soil
7.78,0.28,59.7,74.3,173.9,81.6,10.9,7.7,Arid Soil
5.45,2.5,251.2,179.7,213.5,12.9,25,74.4,Peaty Soil
8.36,1.17,116.5,95.3,304.2,16.4,25.5,66.6,Black Soil
6.19,1.43,152.2,154.3,201.6,21.9,52.9,25.2,Forest Soil
5.82,2.02,263.5,218.8,274.6,15,21.3,60.3,Peaty Soil
5.56,1.74,208.5,131.1,274.5,16.4,53.8,22.6,Forest Soil
4.49,2.51,271.1,241.1,253.7,5.9,21.7,74.9,Peaty Soil
6.54,0.36,115.9,80.9,222.5,37.4,23.4,43.1,Red Soil
8.47,1.12,115.3,105.1,327.4,19.3,29.3,64.7,Black Soil
5.72,0.28,72.9,52.3,159.7,25.7,16.3,69.6,Laterite Soil
4.74,0.4,65.8,65.9,120.7,22.6,12,54.7,Laterite Soil
7.33,0.72,171.8,265.5,251.5,31.7,38.8,27.3,Alluvial Soil
5.98,0.47,61.4,50.7,153.3,26.6,11.9,54.4,Laterite Soil
7.9,0.9,104.9,104.6,391.1,19,27.2,70.6,Black Soil
5.11,2.95,270.6,229.9,248.5,8.9,21.3,61.7,Peaty Soil
7.58,0.87,103.9,93.6,398.4,13.4,22.7,61.3,Black Soil
6.08,1.95,242.9,124.4,271.5,17.5,52.8,26,Forest Soil
5.88,0.49,86.5,95.3,225.4,31,27.8,42.5,Red Soil
7.66,0.23,67.9,79.6,199.8,78.4,7.5,9.3,Arid Soil
5.28,1.24,230.3,176,274.2,22.2,47.5,24.8,Forest Soil
6.95,0.69,160.9,240.8,293.8,35.1,44.7,25.1,Alluvial Soil
4.44,2.23,268.5,183.9,248.8,6,29.3,73.1,Peaty Soil
8.44,0.25,59.6,43.1,215.5,61.1,21.5,16.2,Saline Soil
5.43,0.44,67.2,71.9,128.7,20.3,19,63.7,Laterite Soil
8.3,0.19,44.8,69,157,83,11.2,11,Arid Soil
4.23,2.96,321.4,198.5,217.8,8.5,20.9,73,Peaty Soil
8.36,0.18,43.6,74.5,192.3,72.9,13.4,7.4,Arid Soil
5.91,2.83,345.8,247.7,282.5,8.2,30,68.2,Peaty Soil
5.27,0.41,82.2,75,164.3,24.2,15.4,67.6,Laterite Soil
6.23,1.06,194.7,157.4,221.5,23.8,44.4,20.4,Forest Soil
7.98,0.25,40.6,57.9,198.7,79.2,11.5,5.6,Arid Soil
8.34,1.11,124.2,100.8,368.2,13.1,22.2,69,Black Soil
6.97,0.75,169.4,280.4,256.6,34.6,35.1,22.6,Alluvial Soil
5.54,0.37,87.2,66.7,174,29.8,14.2,55.5,Laterite Soil
5.74,0.24,69.7,77.5,177.3,24.8,17,63.7,Laterite Soil
8.39,0.16,69.7,69.7,179,56,16.3,21.5,Saline Soil
5.74,0.49,86.8,97.3,188.2,31.9,28.5,44.5,Red Soil
7.07,0.65,141.9,224.6,276.4,34.7,44.6,22.2,Alluvial Soil
7.92,0.28,60.6,76.6,196.8,82.7,6.4,6,Arid Soil
8.64,0.15,58.7,66.9,162.4,62,19.3,17.8,Saline Soil
4.89,0.31,69.1,62.5,159.3,28.1,19.7,54,Laterite Soil
4.38,2.64,267.3,202,263.7,14.4,22.8,73.8,Peaty Soil
7.77,1.17,113.8,90.7,338.2,16.1,21.1,61.8,Black Soil
6.72,0.62,138.3,258.3,327.5,37.5,44,21.9,Alluvial Soil
8.49,0.88,136.3,87.2,383.8,20,26,73.9,Black Soil
8.86,0.29,53.1,67.6,196.3,57.1,21.8,17.6,Saline Soil
5.31,1.86,207.6,150.8,273.4,16.1,43.5,28.9,Forest Soil
8.51,0.2,64.2,47,166.6,63.2,23.2,16.8,Saline Soil
8.5,0.18,52.6,65.7,150.9,51.3,21.1,18.6,Saline Soil
6.72,0.32,96.9,98.5,215.4,39.3,29.3,41.5,Red Soil
5.28,0.22,84.8,74.8,145.2,25.3,14.8,53.9,Laterite Soil
8.72,0.11,52.8,67.5,195.7,55.5,17.7,15.9,Saline Soil
5.93,1.15,157.8,129.6,214.5,16.5,42.7,20.1,Forest Soil
5.67,0.34,70.6,65.4,152.2,28.4,13.5,61.5,Laterite Soil
8.25,0.12,59.5,51.7,170.8,78.2,8.8,13,Arid Soil
7.91,1.15,121.5,114.2,386.6,17.5,21.4,71.9,Black Soil
6,0.33,107.8,77.4,188,35.8,27.6,44.5,Red Soil
8.07,0.12,74.1,62,201.6,59.3,19.4,22.3,Saline Soil
7.3,0.85,156.7,259.3,314.6,39.2,37.4,27.2,Alluvial Soil
4.49,2.56,285.3,158.2,208.5,5.1,22.1,62.6,Peaty Soil
5.59,1.93,214.5,136.6,259.7,18.8,55.1,26,Forest Soil
8.4,0.19,69.8,63.3,171.3,63,18.1,17.4,Saline Soil
4.31,2.12,340.4,202.6,250.8,9.4,26,67.6,Peaty Soil
7.64,1.18,104.8,88.5,311,19.3,24.9,65.7,Black Soil
8.57,0.26,61.4,41.3,208.7,61.8,25,24.2,Saline Soil
8.03,0.98,127.1,105.3,371,18.2,24,64.4,Black Soil
8.01,0.18,53.1,63.3,159.5,50.5,24.6,17,Saline Soil
5.85,1.74,220,150.4,276.6,22.4,51.3,20.8,Forest Soil
5.77,1.66,206.1,179.7,255.9,21.9,50.1,29.3,Forest Soil
5.81,0.3,107,96.1,209,38.7,26.8,42.2,Red Soil
5.03,1.33,182,157.2,239,23.8,40.2,27.2,Forest Soil
5.52,0.53,87.7,82.6,242.9,38.4,27.7,49.8,Red Soil
5.01,2.67,320.4,187.1,234.8,6.9,21.7,63,Peaty Soil
5.14,1.01,237.2,172.3,240.9,18.3,47,26.6,Forest Soil
5.71,0.23,64.1,65.5,125.3,24.9,16.2,69.7,Laterite Soil
6.53,0.77,155.2,258.5,291.2,37.2,36.1,26.9,Alluvial Soil
8.12,0.22,65.2,62.9,188.7,76.5,12.7,12.1,Arid Soil
5.85,0.42,83.3,50.9,133.8,20.6,11.2,67.2,Laterite Soil
8.26,1.13,116.3,111.6,375.3,10.7,25.3,62.3,Black Soil
5.69,0.4,105.5,98.4,227,37.4,23,46.9,Red Soil
8.07,0.13,46.2,76.9,184.8,70.6,11.7,10.6,Arid Soil
7.44,0.75,167.1,241.6,261.2,37.9,43.8,29.1,Alluvial Soil
8.12,1,106.3,85.3,331.1,18.4,21,67.5,Black Soil
5.65,0.56,117.7,71.8,220.1,38.7,29,41.6,Red Soil
6.75,0.73,164.5,216.7,336.9,35.5,42.5,25.9,Alluvial Soil
5.99,1.74,161.9,128.2,220.2,20.1,53.5,28,Forest Soil
6.88,0.41,115.3,76.2,206.6,32.6,26.3,42,Red Soil
6.35,0.49,103.9,87.6,241.3,30.5,26.4,49.9,Red Soil
7.14,0.69,167.5,227.9,344.5,36.4,39.9,29.7,Alluvial Soil
5.89,0.52,108.9,86.2,195.5,33.9,27.2,44.7,Red Soil
6.05,1.22,156.7,134.2,224.7,16.8,55.4,28.8,Forest Soil
8.28,1.14,111.4,80.6,350.7,15,27.5,74.7,Black Soil
6.16,1.2,170.3,166.5,272.5,21.9,40.6,22.9,Forest Soil
5.87,0.46,79.7,57.3,158.3,28.3,17.6,58.1,Laterite Soil
8.72,0.18,79.4,63.5,198.9,60.1,21.9,19,Saline Soil
8.39,1.19,109.8,110.8,335.2,11.2,23.9,62.8,Black Soil
5.9,2.31,296.4,224.4,232.2,9.5,22.3,64.5,Peaty Soil
6.4,1.63,236.2,142.5,246.3,23.4,48.7,24.4,Forest Soil
8.57,0.28,62.6,45.9,186.9,51.2,23.7,20.8,Saline Soil
5.1,2.98,292.8,177.4,213.8,9.6,20.1,74.5,Peaty Soil
8.01,0.11,55.7,57.8,180.6,58.9,23.3,22.2,Saline Soil
8.99,0.17,60.9,69.4,194,51.5,21.6,18.4,Saline Soil
8.16,0.14,50.6,77.9,167.8,77.4,9.7,7.6,Arid Soil
7.95,0.14,45.4,60.4,157.7,76.3,9.3,7.2,Arid Soil
8.01,0.22,60.1,67,195.6,56.8,19.8,23.1,Saline Soil
5.49,1.72,231.4,131.6,274.5,24,57.1,26.4,Forest Soil
7.8,1.03,116.5,110.1,307.7,10.6,29.8,73.8,Black Soil
7.55,0.23,66.9,57.9,163.7,79.4,10.2,11.7,Arid Soil
6.45,1.24,201.5,166.7,253.1,17.8,57.6,25.6,Forest Soil
5.78,0.32,89.1,79.1,100.3,25.8,11.2,57.5,Laterite Soil
7.72,0.96,128.2,106.9,344.6,15.6,21.7,67.1,Black Soil
5,0.49,82.4,68.1,156.6,26.4,10.7,50.9,Laterite Soil
6.74,0.39,95.4,90.2,217.5,36.1,25.8,46.7,Red Soil
8.46,1.03,131.1,118.1,365.6,13.4,21.7,60.1,Black Soil
6.28,1.63,178.4,157.1,210.8,18.3,47,20,Forest Soil
8.06,0.94,138.6,104.5,346.7,20,24.9,73.8,Black Soil
5.73,1.07,221.8,162.8,217.5,22,43.1,21.6,Forest Soil
5.96,0.51,100,87,217.2,34.4,22.7,46.7,Red Soil
8.39,0.1,49.2,78.7,181.3,77.2,10.5,5,Arid Soil
8.94,0.27,53.2,65.3,158.7,54.9,20.7,20.7,Saline Soil
8.48,0.15,48.3,62.2,194,78.4,5.8,12.2,Arid Soil
8.29,0.16,56.6,44.9,198,54.7,22.1,20.4,Saline Soil
5.36,1.84,221.6,133.7,254.1,20.6,58.7,20.4,Forest Soil
8.03,0.13,69.4,68.2,218.1,58.2,23.5,15,Saline Soil
7.14,0.71,168.6,298.1,301.1,33.9,44.4,27.3,Alluvial Soil
8.36,0.27,67.4,46.2,174.3,54,20.7,19.1,Saline Soil
8.23,0.93,107.7,91.3,340.7,11.3,21.1,71.3,Black Soil
6.45,0.49,91.2,81.9,244.8,39.1,23.5,46.9,Red Soil
5.19,1.98,181.7,122.8,231.6,24.5,58.2,29,Forest Soil
4.52,0.46,77,54.1,175.6,29.4,14.2,56.9,Laterite Soil
8.18,1.05,117.6,84.5,320.2,13.3,27,64.8,Black Soil
7.95,0.99,110.6,115.8,322.2,18.9,29.6,63.4,Black Soil
7.98,1.01,119.1,82.6,390.4,12.6,22.1,74.8,Black Soil
6.86,0.5,108.7,96.5,234.7,38.3,28.4,42.8,Red Soil
5.29,0.26,62.8,62.4,168.5,20.3,16.3,62.8,Laterite Soil
8.46,0.23,69.1,63.9,186.6,54,21.4,19.7,Saline Soil
8.53,0.3,70.7,54.5,172.9,64.2,24.7,20.7,Saline Soil
6.84,0.76,129.2,291.5,300.9,32.6,43.5,26.8,Alluvial Soil
7.05,0.8,169.7,253.6,293,36.5,44.7,27.5,Alluvial Soil
5.79,0.23,89,63.6,130.5,25.9,12.2,51.9,Laterite Soil
5.57,1.72,249.4,173.4,261.5,23.7,57.1,29.4,Forest Soil
5.11,1.22,170.5,140.5,206.2,23,52.7,25.2,Forest Soil
8.21,0.87,133.2,86.3,376.6,18.3,27.4,63.1,Black Soil
4.95,0.21,89,57.6,136,27.4,18.7,57.6,Laterite Soil
6.94,0.43,118.9,94.8,240,33.8,25.8,41.8,Red Soil
5.69,2.22,292.8,176.3,212.5,9.8,29.4,70.2,Peaty Soil
6.79,0.55,115.4,84.1,219.8,37.4,27.2,42.2,Red Soil
8.26,0.15,66.8,63.5,162.1,50.1,22.4,22.7,Saline Soil
5.41,2.31,272,217.4,230.4,8.4,26.9,65.8,Peaty Soil
4.83,0.45,67.5,75.5,160.8,26.4,13.2,60,Laterite Soil
7.37,0.65,166.2,203.4,274.3,30.7,44.6,26,Alluvial Soil
5.95,1.14,236.6,155,206.3,19.9,42.5,20.5,Forest Soil
4.89,2.65,315.1,226.6,264.8,7.7,27.6,73.3,Peaty Soil
8.46,1.16,120.4,87.3,381.3,17.3,25,74.2,Black Soil
7.93,0.85,101.3,85.1,341,17.6,29.5,70.9,Black Soil
6.31,1.23,188.8,170,239.4,21.2,47.4,26.3,Forest Soil
5.55,2.27,349,194.3,278.6,10.9,28.5,71.6,Peaty Soil
8.8,0.21,73.1,43.9,157,61.2,22,24.3,Saline Soil
5.46,1.29,221.8,128.2,251.3,20.6,41.1,26.4,Forest Soil
6.98,0.55,80.7,70.2,192.5,31.9,20.6,46,Red Soil
7.8,0.25,69.2,57.2,160.9,76.2,8.1,9.7,Arid Soil
6.95,0.61,158.1,262.2,261.7,32.8,44.7,28,Alluvial Soil
8.46,0.94,109.8,109.7,364.6,16.8,23.7,70.7,Black Soil
8.02,0.19,66.8,61.9,167.9,51.2,16.2,15.5,Saline Soil
6.89,0.84,174.6,278.8,281.2,31.1,37.2,29.5,Alluvial Soil
5.79,1.81,198.5,172.5,243.9,16.5,44.5,23.4,Forest Soil
5.96,1.21,237.3,141.3,227.2,20.6,44,24.1,Forest Soil
6.14,0.53,107.9,76.9,192.2,33.3,24.6,49.3,Red Soil
7.92,0.12,55.5,77.6,197.4,75.8,9.9,10.9,Arid Soil
6.34,1.45,166.3,125.2,270.6,21.6,57.3,22.9,Forest Soil
6.03,0.46,88.8,95.6,223.8,32.5,23.4,40.3,Red Soil
4.86,0.39,82.1,78.3,107.2,22.7,14.2,59.9,Laterite Soil
6.99,0.61,143,206.5,307.2,36.7,35.4,28.8,Alluvial Soil
6.86,0.51,108,80.7,235.5,37.6,20.2,45.5,Red Soil
5.99,0.45,95.6,95.9,220.6,30.9,23.8,42.6,Red Soil
5.95,0.58,84.1,71.8,204.6,36.6,24.5,41.7,Red Soil
7.33,0.71,136,250.9,267.8,30.1,39.8,21.2,Alluvial Soil
6.7,0.74,157.7,287.2,282.7,39.7,43.4,24.5,Alluvial Soil
6.94,0.67,176.4,286.9,308.7,30.6,43.3,20.8,Alluvial Soil
5.9,1.37,162.5,173.4,222,19.1,45.5,24.5,Forest Soil
5.87,1.73,218.7,138.2,251.1,23.6,57.6,29.4,Forest Soil
4.61,0.48,87.5,71.7,169.7,25.9,16.8,69,Laterite Soil
5.05,2.58,345.7,214.2,247.7,8.9,20.8,68.7,Peaty Soil
5.45,1.21,153.9,172.5,270,24.9,52.7,25.7,Forest Soil
7.84,1.19,100.3,106.3,332.7,19.9,23.4,69.2,Black Soil
6.11,0.44,86.5,70.6,212.2,36.2,22.7,45.8,Red Soil
8.17,0.11,75.1,46.2,195.8,64.7,23.3,20.8,Saline Soil
5.66,0.31,116.9,99.3,209,32.4,22.2,49.5,Red Soil
7.1,0.9,159.5,223.5,299.1,32.9,38.2,22.8,Alluvial Soil
5.62,1.11,221.8,154.8,273.9,19.4,53.1,23.1,Forest Soil
6.39,1.18,158.5,162.6,201.7,24.1,46.2,28.5,Forest Soil
7.95,0.19,63.5,63,167,83.7,8.5,6.2,Arid Soil
6.48,1.39,208.8,133.9,245.2,17,57.2,26.3,Forest Soil
7.18,0.84,162.9,268.1,341,36.4,39.6,24.9,Alluvial Soil
8.49,0.13,74.1,64.5,196.2,61.8,24.1,17.6,Saline Soil
4.5,0.3,79,71.4,100.3,25.5,10.6,63.3,Laterite Soil
7.61,0.13,54.6,54.4,175,84.6,7.6,11.2,Arid Soil
5.88,1.06,185.9,157.7,235.2,20.4,59.2,20.1,Forest Soil
4.66,2.66,303.4,227.8,268.5,6,20.1,65.4,Peaty Soil
5.13,1.92,235.4,129.8,274.1,16.1,46,25,Forest Soil
8.25,0.12,42.3,51.6,186.6,80.9,10.4,6.8,Arid Soil
8.19,0.15,68.7,42.7,170.8,58.3,20.1,18.8,Saline Soil
4.2,2.76,318,163,295.8,14.2,21.9,70,Peaty Soil
4.92,0.43,80.8,50.1,161,26.9,11.8,68.3,Laterite Soil
5.97,0.38,67.5,68.8,159.6,23.2,16,53,Laterite Soil
8.34,1.13,104.2,115.2,395.5,14,22.9,66.1,Black Soil
5.67,0.44,90,75.7,115.2,23.6,12.6,62.8,Laterite Soil
5.18,2.44,337.1,182.1,298.2,13.3,24,70.2,Peaty Soil
6.08,0.35,111.1,99.8,206.6,30.8,26.2,49.1,Red Soil
4.73,0.45,85.3,72.4,177.8,21.9,17.4,67.3,Laterite Soil
6.54,0.62,133.8,282.7,310.4,38.8,36.5,27,Alluvial Soil
8.61,0.21,61.1,62.8,151.4,58.3,22.3,21.2,Saline Soil
6.11,1.82,202.8,124.5,259.4,16,41.6,20.1,Forest Soil
6.15,0.53,95.8,85.3,184.9,31.1,25.5,49.9,Red Soil
8.38,0.93,109,108.4,382,15.2,26.1,63,Black Soil
5.66,0.57,94.9,92.7,190.9,30.6,25.9,47.5,Red Soil
7.75,1.16,123.1,81.1,353.4,13.4,21.5,73.1,Black Soil
8.85,0.17,77,68.8,153.2,60.1,20.4,17.3,Saline Soil
8.31,0.11,57.5,59.4,179.8,61.3,15.6,24.3,Saline Soil
5.45,0.43,78.3,59.9,162.4,29,18.3,65.9,Laterite Soil
4.58,2.88,317.7,174.1,283.6,9,20.6,65.9,Peaty Soil
5.9,0.53,112,77.6,229.2,30.8,21.5,40.4,Red Soil
5.86,2.19,260.4,170.6,256.7,13.5,23.3,63.3,Peaty Soil
5.23,1.22,182.3,144,221.7,23.4,40.6,26.1,Forest Soil
8.7,0.19,77.2,48,150.5,64.2,17.7,24.9,Saline Soil
6.59,0.45,89.8,88.4,198.7,34,27.3,44.4,Red Soil
5.05,1.56,218.7,152.6,240,21.1,55,24.6,Forest Soil
5.55,0.27,74.9,75.1,136.9,28.1,18.1,59.1,Laterite Soil
6.98,0.35,116.1,81.3,225.7,34.3,29.6,46.3,Red Soil
8.33,0.25,58.1,40.6,202.4,62.2,18.1,20.9,Saline Soil
6.41,0.4,119.8,90.5,194.4,34.9,23.9,48.5,Red Soil
8.73,0.16,77.1,47,187,59.3,23.9,16.4,Saline Soil
6.01,0.59,91.9,76.9,202.7,37.5,29.5,41.5,Red Soil
5.95,1.96,179.4,130.9,246.9,19.9,59.5,26.1,Forest Soil
7.72,0.91,125.9,104.8,317.2,10.1,24.6,71.6,Black Soil
5.46,2.44,290.6,209.4,258.4,6.5,25.3,74.4,Peaty Soil
5.98,1.32,238.9,145.6,210.9,15.3,48.6,22.6,Forest Soil
7.4,0.81,120.8,277.6,301.9,38.8,38.1,25,Alluvial Soil
5.69,2.15,325.6,164.8,212.8,11.2,26.3,72.2,Peaty Soil
8.15,0.24,58.6,58.1,171.9,55.6,20.3,16.2,Saline Soil
5.52,1.21,173.9,160.3,212,20.1,55.4,24.3,Forest Soil
4.51,2.84,264.3,182.5,290.6,13.8,22.6,64.7,Peaty Soil
7.17,0.6,173.8,212.3,316.8,33,44.1,22.5,Alluvial Soil
8.25,0.2,72.1,69.5,158.5,61.9,18.6,21,Saline Soil
7.89,1.09,127.2,94.7,318.3,18.4,24.4,66.6,Black Soil
6.13,1.89,212.1,164.6,263.1,24.7,57.9,21,Forest Soil
6.26,0.38,94,94.3,249.5,39.2,22.5,47.7,Red Soil
8.15,1,127.6,100.7,315.3,18.4,24.3,64.4,Black Soil
7.66,1.12,103.8,116.8,308.3,16.3,21.7,62.8,Black Soil
5.32,1.33,162.3,167.7,208.6,22.4,52.3,20.7,Forest Soil
8.15,0.91,133,100,360.8,11.4,25.3,68.1,Black Soil
6.6,0.62,168.8,235.9,344.2,38.8,38.8,23.8,Alluvial Soil
6.72,0.72,144.5,296.2,330.8,30.1,35.2,22,Alluvial Soil
4.56,2.19,343.6,226,238.4,9.1,26.3,74.2,Peaty Soil
4.28,2.18,348.1,170.6,218.4,6.1,20.5,63.9,Peaty Soil
7.59,0.26,53.3,60.6,153.6,77.1,12.9,5.5,Arid Soil
5.64,1.69,223,153.1,243.4,22.6,54.4,20,Forest Soil
5.22,1.48,237.4,124.9,267.9,15.9,57.2,29.7,Forest Soil
6.08,0.34,118.6,76.1,206.2,30.7,23.9,41.9,Red Soil
8.46,0.2,42.8,78.3,163.1,83.9,14.1,8.4,Arid Soil
5.49,0.26,84.8,59,103.4,27.8,19.3,54,Laterite Soil
6.25,0.47,98.7,99.4,185.7,39.4,27.8,42.8,Red Soil
7.04,0.86,137.7,216.3,349.3,30.3,38.3,29.9,Alluvial Soil
5.96,0.56,118.8,91,225.4,38.2,27.2,49.5,Red Soil
6.53,0.51,100.1,87.2,192.8,31.3,21,49.8,Red Soil
8.54,0.16,56.8,66.4,177.7,63.3,16.7,22.9,Saline Soil
5.81,2.83,345.5,220.8,212.8,8.1,29.8,63.8,Peaty Soil
5.14,2.49,278.4,181.7,223.9,11.8,21.9,61.5,Peaty Soil
7.53,0.21,59.1,64.2,156,75.3,10.2,9.6,Arid Soil
5.23,0.35,71.6,79.5,100.6,24.6,13.9,66.6,Laterite Soil
5.88,1.8,231.1,127,213.3,18.9,57.3,20.3,Forest Soil
7.6,1.12,131.4,108.5,347.8,11.2,28.8,68.3,Black Soil
8.06,0.11,77.7,53.9,191.8,57.9,23.3,16.6,Saline Soil
8.24,0.17,48.6,61.5,171.2,81.7,7.5,14.6,Arid Soil
5.89,0.32,104.1,90.7,200.6,30.8,26.4,49.3,Red Soil
8.01,0.16,62.9,64.1,190.9,83.2,8.9,7.2,Arid Soil
7.7,1.2,128.2,84.5,352.2,13.1,22.6,74.9,Black Soil
6.5,0.59,101.1,75.9,209.4,31.2,24.5,47.9,Red Soil
8.21,0.11,73.9,51.9,177.4,61.1,21.8,16.5,Saline Soil
6.71,0.73,156.3,205.7,303.3,39.7,38.6,27.3,Alluvial Soil
4.03,2.22,274.1,182.1,208.8,11.4,20.1,72.7,Peaty Soil
5.94,0.51,80.9,85.1,191.5,32.6,24.5,41.1,Red Soil
8.36,0.18,69.5,77.4,198.1,76.3,10.2,8.7,Arid Soil
8.41,0.18,59.5,44.6,161.6,57.2,22.2,15.3,Saline Soil
5.42,2.48,337.6,235.8,204.5,11.7,20.3,65.6,Peaty Soil
5.17,1.64,163.3,125.5,254.1,15.1,54,28.8,Forest Soil
4.71,0.44,71.5,75.8,109.5,26.3,16.9,61.3,Laterite Soil
5.68,2.62,333.8,216.7,270.1,14.1,21.9,64.4,Peaty Soil
8.31,1.05,110.3,112.5,355.7,17.7,25.3,69.2,Black Soil
7.22,0.68,178.6,242.2,326.6,32.1,38.3,20.3,Alluvial Soil
5.4,1.47,194.1,163.8,239.1,21.2,53.4,29.8,Forest Soil
8.77,0.28,67.9,47.6,208.7,63.5,24.5,15.6,Saline Soil
6.54,0.44,91.5,88.8,207,32.4,26.2,43.5,Red Soil
6.84,0.78,136.6,218.1,341.5,39.7,35.8,22.5,Alluvial Soil
7.1,0.83,145.4,265.5,291.2,30.5,35.7,25,Alluvial Soil
5.03,0.36,82.6,70.3,118.1,25.7,16.9,65,Laterite Soil
5.59,0.55,80.3,98.5,205.4,31.2,23.1,41.8,Red Soil
4.42,2.13,313.5,210.5,203.3,6.2,27.8,73.2,Peaty Soil
5.18,0.35,79.7,69.5,144.8,20.2,14.5,50,Laterite Soil
6.74,0.89,164.3,282.6,261.2,35.2,40,24.8,Alluvial Soil
6.62,0.67,178.9,224.1,315.2,39.4,35.8,22.2,Alluvial Soil
8.23,0.86,124.6,105.6,330.7,11.1,23.4,61.3,Black Soil
7.43,0.76,149.6,222.8,251.5,35,44.5,26.3,Alluvial Soil
5.65,0.27,63.5,63.5,168,21.1,13.9,52.6,Laterite Soil
6.27,0.57,98.9,94.8,209.9,32.2,25.5,47.1,Red Soil
5.91,0.28,80,50.9,107.9,20.2,13.5,68.1,Laterite Soil
7.59,0.19,67.9,55.4,176.7,73.6,5.8,12.8,Arid Soil
8.01,0.26,59.4,57.4,195.3,50.6,21.1,22,Saline Soil
8.62,0.13,64.6,65.9,180.9,64.4,16.7,21,Saline Soil
8.41,0.12,56.2,69.3,183.5,61,19.1,21.6,Saline Soil
7.48,0.61,165,296.9,302.2,38.7,35,26.4,Alluvial Soil
7.98,0.14,54.8,51.3,197.8,76.8,13.9,12.9,Arid Soil
8.69,0.23,72,40.6,197.6,59,24.7,18.2,Saline Soil
8.59,0.2,59.2,49,218.6,60.3,22.3,21.4,Saline Soil
5.78,0.25,65.6,75.3,138.5,25.2,13.3,69.4,Laterite Soil
8.74,0.13,67.5,49.8,196.6,58.6,23.7,22.2,Saline Soil
6.52,0.54,88.7,84.5,231.8,36.6,25.4,42.2,Red Soil
7.53,0.11,68.4,55.6,193,82.1,10.3,8.4,Arid Soil
4.28,2.18,295,178.6,263.3,13.6,22.9,60.6,Peaty Soil
8.47,0.22,54.5,62.5,154.6,82.8,8.5,11.3,Arid Soil
5.51,0.52,113.6,87.4,228.4,37.1,21.6,46.7,Red Soil
5.57,0.55,111.2,95.2,195.5,34.5,24.4,46.9,Red Soil
6.76,0.87,147.7,295.3,291.9,39.8,41.6,21.7,Alluvial Soil
6.74,0.86,136.6,295.5,282.1,35.1,42.9,24,Alluvial Soil
7.71,0.26,41.5,64.2,189.4,76.6,11.3,8.7,Arid Soil
4.99,0.45,70.1,52.4,147.7,26.3,19.2,68.5,Laterite Soil
4.22,2.72,343.3,156.7,271.4,13.7,21,70.3,Peaty Soil
7.94,0.83,116.1,89.7,355.4,17.8,27.2,68.9,Black Soil
6.71,0.63,160.3,214.7,267.6,38.7,42.1,29.7,Alluvial Soil
8.91,0.15,72.3,63,178.5,60.7,24,16.7,Saline Soil
5.11,0.4,88.9,77.6,153.9,21.5,16.8,68.9,Laterite Soil
6.19,0.35,87.2,96.1,199.3,34.2,26.9,46.3,Red Soil
